User,Location,Weekday,Start,End,RelativeFrequency
02A8,Gym,Monday,10:15,12:45,0.0
02A8,Gym,Monday,13:30,14:29,0.0
02A8,Gym,Monday,14:30,15:29,0.0
02A8,Gym,Monday,15:30,16:15,0.0
02A8,Gym,Monday,16:45,19:30,0.0
02A8,Gym,Tuesday,10:15,12:45,0.0
02A8,Gym,Tuesday,13:30,14:29,0.0
02A8,Gym,Tuesday,14:30,15:29,0.0
02A8,Gym,Tuesday,15:30,16:15,1.0
02A8,Gym,Tuesday,16:45,19:30,0.0
02A8,Gym,Wednesday,10:15,12:45,0.0
02A8,Gym,Wednesday,13:30,14:29,0.0
02A8,Gym,Wednesday,14:30,15:29,0.0
02A8,Gym,Wednesday,15:30,16:15,1.0
02A8,Gym,Wednesday,16:45,19:30,0.0
02A8,Gym,Thursday,10:15,12:45,0.0
02A8,Gym,Thursday,13:30,14:29,0.0
02A8,Gym,Thursday,14:30,15:29,0.0
02A8,Gym,Thursday,15:30,16:15,1.0
02A8,Gym,Thursday,16:45,19:30,0.0
02A8,Gym,Friday,10:15,12:45,0.0
02A8,Gym,Friday,13:30,14:29,0.0
02A8,Gym,Friday,14:30,15:29,0.0
02A8,Gym,Friday,15:30,16:15,0.0
02A8,Gym,Friday,16:45,19:30,0.0
02A8,Gym,Saturday,10:15,12:45,0.0
02A8,Gym,Saturday,13:30,14:29,0.0
02A8,Gym,Saturday,14:30,15:29,0.0
02A8,Gym,Saturday,15:30,16:15,0.0
02A8,Gym,Saturday,16:45,19:30,0.0
02A8,Gym,Sunday,10:15,12:45,0.0
02A8,Gym,Sunday,13:30,14:29,0.0
02A8,Gym,Sunday,14:30,15:29,0.0
02A8,Gym,Sunday,15:30,16:15,0.0
02A8,Gym,Sunday,16:45,19:30,0.0
02A8,Terrace,Monday,10:15,12:45,0.0
02A8,Terrace,Monday,13:30,14:29,0.0
02A8,Terrace,Monday,14:30,15:29,1.0
02A8,Terrace,Monday,15:30,16:15,0.0
02A8,Terrace,Monday,16:45,19:30,0.0
02A8,Terrace,Tuesday,10:15,12:45,0.0
02A8,Terrace,Tuesday,13:30,14:29,0.0
02A8,Terrace,Tuesday,14:30,15:29,0.0
02A8,Terrace,Tuesday,15:30,16:15,0.0
02A8,Terrace,Tuesday,16:45,19:30,0.0
02A8,Terrace,Wednesday,10:15,12:45,0.0
02A8,Terrace,Wednesday,13:30,14:29,0.0
02A8,Terrace,Wednesday,14:30,15:29,0.0
02A8,Terrace,Wednesday,15:30,16:15,0.0
02A8,Terrace,Wednesday,16:45,19:30,0.0
02A8,Terrace,Thursday,10:15,12:45,0.0
02A8,Terrace,Thursday,13:30,14:29,0.0
02A8,Terrace,Thursday,14:30,15:29,0.0
02A8,Terrace,Thursday,15:30,16:15,0.0
02A8,Terrace,Thursday,16:45,19:30,0.0
02A8,Terrace,Friday,10:15,12:45,0.0
02A8,Terrace,Friday,13:30,14:29,0.0
02A8,Terrace,Friday,14:30,15:29,1.0
02A8,Terrace,Friday,15:30,16:15,0.0
02A8,Terrace,Friday,16:45,19:30,0.0
02A8,Terrace,Saturday,10:15,12:45,0.0
02A8,Terrace,Saturday,13:30,14:29,0.0
02A8,Terrace,Saturday,14:30,15:29,0.0
02A8,Terrace,Saturday,15:30,16:15,0.0
02A8,Terrace,Saturday,16:45,19:30,0.0
02A8,Terrace,Sunday,10:15,12:45,0.0
02A8,Terrace,Sunday,13:30,14:29,0.0
02A8,Terrace,Sunday,14:30,15:29,0.0
02A8,Terrace,Sunday,15:30,16:15,0.0
02A8,Terrace,Sunday,16:45,19:30,0.0
02A8,Room,Monday,10:15,12:45,1.0
02A8,Room,Monday,13:30,14:29,1.0
02A8,Room,Monday,14:30,15:29,0.0
02A8,Room,Monday,15:30,16:15,0.0
02A8,Room,Monday,16:45,19:30,1.0
02A8,Room,Tuesday,10:15,12:45,1.0
02A8,Room,Tuesday,13:30,14:29,1.0
02A8,Room,Tuesday,14:30,15:29,1.0
02A8,Room,Tuesday,15:30,16:15,0.0
02A8,Room,Tuesday,16:45,19:30,1.0
02A8,Room,Wednesday,10:15,12:45,1.0
02A8,Room,Wednesday,13:30,14:29,1.0
02A8,Room,Wednesday,14:30,15:29,1.0
02A8,Room,Wednesday,15:30,16:15,0.0
02A8,Room,Wednesday,16:45,19:30,1.0
02A8,Room,Thursday,10:15,12:45,1.0
02A8,Room,Thursday,13:30,14:29,1.0
02A8,Room,Thursday,14:30,15:29,1.0
02A8,Room,Thursday,15:30,16:15,0.0
02A8,Room,Thursday,16:45,19:30,1.0
02A8,Room,Friday,10:15,12:45,1.0
02A8,Room,Friday,13:30,14:29,1.0
02A8,Room,Friday,14:30,15:29,0.0
02A8,Room,Friday,15:30,16:15,0.0
02A8,Room,Friday,16:45,19:30,1.0
02A8,Room,Saturday,10:15,12:45,1.0
02A8,Room,Saturday,13:30,14:29,1.0
02A8,Room,Saturday,14:30,15:29,1.0
02A8,Room,Saturday,15:30,16:15,0.0
02A8,Room,Saturday,16:45,19:30,1.0
02A8,Room,Sunday,10:15,12:45,1.0
02A8,Room,Sunday,13:30,14:29,1.0
02A8,Room,Sunday,14:30,15:29,1.0
02A8,Room,Sunday,15:30,16:15,0.0
02A8,Room,Sunday,16:45,19:30,1.0
402E,TV Room,Monday,10:15,11:14,0.0
402E,TV Room,Monday,11:15,12:45,0.0
402E,TV Room,Monday,13:30,14:59,0.0
402E,TV Room,Monday,15:00,16:15,0.0
402E,TV Room,Monday,16:45,17:59,0.0
402E,TV Room,Monday,18:00,19:15,0.0
402E,TV Room,Tuesday,10:15,11:14,0.0
402E,TV Room,Tuesday,11:15,12:45,0.0
402E,TV Room,Tuesday,13:30,14:59,0.0
402E,TV Room,Tuesday,15:00,16:15,0.0
402E,TV Room,Tuesday,16:45,17:59,0.0
402E,TV Room,Tuesday,18:00,19:15,0.0
402E,TV Room,Wednesday,10:15,11:14,0.0
402E,TV Room,Wednesday,11:15,12:45,0.0
402E,TV Room,Wednesday,13:30,14:59,1.0
402E,TV Room,Wednesday,15:00,16:15,1.0
402E,TV Room,Wednesday,16:45,17:59,0.0
402E,TV Room,Wednesday,18:00,19:15,0.0
402E,TV Room,Thursday,10:15,11:14,0.0
402E,TV Room,Thursday,11:15,12:45,0.0
402E,TV Room,Thursday,13:30,14:59,0.0
402E,TV Room,Thursday,15:00,16:15,0.0
402E,TV Room,Thursday,16:45,17:59,0.0
402E,TV Room,Thursday,18:00,19:15,0.0
402E,TV Room,Friday,10:15,11:14,0.0
402E,TV Room,Friday,11:15,12:45,0.0
402E,TV Room,Friday,13:30,14:59,1.0
402E,TV Room,Friday,15:00,16:15,1.0
402E,TV Room,Friday,16:45,17:59,0.0
402E,TV Room,Friday,18:00,19:15,0.0
402E,TV Room,Saturday,10:15,11:14,0.0
402E,TV Room,Saturday,11:15,12:45,0.0
402E,TV Room,Saturday,13:30,14:59,0.0
402E,TV Room,Saturday,15:00,16:15,0.0
402E,TV Room,Saturday,16:45,17:59,0.0
402E,TV Room,Saturday,18:00,19:15,0.0
402E,TV Room,Sunday,10:15,11:14,0.0
402E,TV Room,Sunday,11:15,12:45,0.0
402E,TV Room,Sunday,13:30,14:59,0.0
402E,TV Room,Sunday,15:00,16:15,0.0
402E,TV Room,Sunday,16:45,17:59,0.0
402E,TV Room,Sunday,18:00,19:15,0.0
402E,Therapy Room,Monday,10:15,11:14,1.0
402E,Therapy Room,Monday,11:15,12:45,1.0
402E,Therapy Room,Monday,13:30,14:59,1.0
402E,Therapy Room,Monday,15:00,16:15,1.0
402E,Therapy Room,Monday,16:45,17:59,1.0
402E,Therapy Room,Monday,18:00,19:15,1.0
402E,Therapy Room,Tuesday,10:15,11:14,1.0
402E,Therapy Room,Tuesday,11:15,12:45,1.0
402E,Therapy Room,Tuesday,13:30,14:59,1.0
402E,Therapy Room,Tuesday,15:00,16:15,1.0
402E,Therapy Room,Tuesday,16:45,17:59,1.0
402E,Therapy Room,Tuesday,18:00,19:15,1.0
402E,Therapy Room,Wednesday,10:15,11:14,1.0
402E,Therapy Room,Wednesday,11:15,12:45,1.0
402E,Therapy Room,Wednesday,13:30,14:59,0.0
402E,Therapy Room,Wednesday,15:00,16:15,0.0
402E,Therapy Room,Wednesday,16:45,17:59,1.0
402E,Therapy Room,Wednesday,18:00,19:15,1.0
402E,Therapy Room,Thursday,10:15,11:14,1.0
402E,Therapy Room,Thursday,11:15,12:45,1.0
402E,Therapy Room,Thursday,13:30,14:59,1.0
402E,Therapy Room,Thursday,15:00,16:15,0.0
402E,Therapy Room,Thursday,16:45,17:59,1.0
402E,Therapy Room,Thursday,18:00,19:15,1.0
402E,Therapy Room,Friday,10:15,11:14,0.0
402E,Therapy Room,Friday,11:15,12:45,1.0
402E,Therapy Room,Friday,13:30,14:59,0.0
402E,Therapy Room,Friday,15:00,16:15,0.0
402E,Therapy Room,Friday,16:45,17:59,0.949
402E,Therapy Room,Friday,18:00,19:15,0.0
402E,Therapy Room,Saturday,10:15,11:14,1.0
402E,Therapy Room,Saturday,11:15,12:45,1.0
402E,Therapy Room,Saturday,13:30,14:59,1.0
402E,Therapy Room,Saturday,15:00,16:15,1.0
402E,Therapy Room,Saturday,16:45,17:59,1.0
402E,Therapy Room,Saturday,18:00,19:15,1.0
402E,Therapy Room,Sunday,10:15,11:14,0.0
402E,Therapy Room,Sunday,11:15,12:45,1.0
402E,Therapy Room,Sunday,13:30,14:59,1.0
402E,Therapy Room,Sunday,15:00,16:15,1.0
402E,Therapy Room,Sunday,16:45,17:59,0.949
402E,Therapy Room,Sunday,18:00,19:15,0.0
402E,Gym,Monday,10:15,11:14,0.0
402E,Gym,Monday,11:15,12:45,0.0
402E,Gym,Monday,13:30,14:59,0.0
402E,Gym,Monday,15:00,16:15,0.0
402E,Gym,Monday,16:45,17:59,0.0
402E,Gym,Monday,18:00,19:15,0.0
402E,Gym,Tuesday,10:15,11:14,0.0
402E,Gym,Tuesday,11:15,12:45,0.0
402E,Gym,Tuesday,13:30,14:59,0.0
402E,Gym,Tuesday,15:00,16:15,0.0
402E,Gym,Tuesday,16:45,17:59,0.0
402E,Gym,Tuesday,18:00,19:15,0.0
402E,Gym,Wednesday,10:15,11:14,0.0
402E,Gym,Wednesday,11:15,12:45,0.0
402E,Gym,Wednesday,13:30,14:59,0.0
402E,Gym,Wednesday,15:00,16:15,0.0
402E,Gym,Wednesday,16:45,17:59,0.0
402E,Gym,Wednesday,18:00,19:15,0.0
402E,Gym,Thursday,10:15,11:14,0.0
402E,Gym,Thursday,11:15,12:45,0.0
402E,Gym,Thursday,13:30,14:59,0.0
402E,Gym,Thursday,15:00,16:15,1.0
402E,Gym,Thursday,16:45,17:59,0.0
402E,Gym,Thursday,18:00,19:15,0.0
402E,Gym,Friday,10:15,11:14,1.0
402E,Gym,Friday,11:15,12:45,0.0
402E,Gym,Friday,13:30,14:59,0.0
402E,Gym,Friday,15:00,16:15,0.0
402E,Gym,Friday,16:45,17:59,0.0
402E,Gym,Friday,18:00,19:15,0.0
402E,Gym,Saturday,10:15,11:14,0.0
402E,Gym,Saturday,11:15,12:45,0.0
402E,Gym,Saturday,13:30,14:59,0.0
402E,Gym,Saturday,15:00,16:15,0.0
402E,Gym,Saturday,16:45,17:59,0.0
402E,Gym,Saturday,18:00,19:15,0.0
402E,Gym,Sunday,10:15,11:14,1.0
402E,Gym,Sunday,11:15,12:45,0.0
402E,Gym,Sunday,13:30,14:59,0.0
402E,Gym,Sunday,15:00,16:15,0.0
402E,Gym,Sunday,16:45,17:59,0.0
402E,Gym,Sunday,18:00,19:15,0.0
402E,Room,Monday,10:15,11:14,0.0
402E,Room,Monday,11:15,12:45,0.0
402E,Room,Monday,13:30,14:59,0.0
402E,Room,Monday,15:00,16:15,0.0
402E,Room,Monday,16:45,17:59,0.0
402E,Room,Monday,18:00,19:15,0.0
402E,Room,Tuesday,10:15,11:14,0.0
402E,Room,Tuesday,11:15,12:45,0.0
402E,Room,Tuesday,13:30,14:59,0.0
402E,Room,Tuesday,15:00,16:15,0.0
402E,Room,Tuesday,16:45,17:59,0.0
402E,Room,Tuesday,18:00,19:15,0.0
402E,Room,Wednesday,10:15,11:14,0.0
402E,Room,Wednesday,11:15,12:45,0.0
402E,Room,Wednesday,13:30,14:59,0.0
402E,Room,Wednesday,15:00,16:15,0.0
402E,Room,Wednesday,16:45,17:59,0.0
402E,Room,Wednesday,18:00,19:15,0.0
402E,Room,Thursday,10:15,11:14,0.0
402E,Room,Thursday,11:15,12:45,0.0
402E,Room,Thursday,13:30,14:59,0.0
402E,Room,Thursday,15:00,16:15,0.0
402E,Room,Thursday,16:45,17:59,0.0
402E,Room,Thursday,18:00,19:15,0.0
402E,Room,Friday,10:15,11:14,0.0
402E,Room,Friday,11:15,12:45,0.0
402E,Room,Friday,13:30,14:59,0.0
402E,Room,Friday,15:00,16:15,0.0
402E,Room,Friday,16:45,17:59,0.0
402E,Room,Friday,18:00,19:15,1.0
402E,Room,Saturday,10:15,11:14,0.0
402E,Room,Saturday,11:15,12:45,0.0
402E,Room,Saturday,13:30,14:59,0.0
402E,Room,Saturday,15:00,16:15,0.0
402E,Room,Saturday,16:45,17:59,0.0
402E,Room,Saturday,18:00,19:15,0.0
402E,Room,Sunday,10:15,11:14,0.0
402E,Room,Sunday,11:15,12:45,0.0
402E,Room,Sunday,13:30,14:59,0.0
402E,Room,Sunday,15:00,16:15,0.0
402E,Room,Sunday,16:45,17:59,0.0
402E,Room,Sunday,18:00,19:15,1.0
52EA,Therapy Room,Monday,10:15,11:14,0.0
52EA,Therapy Room,Monday,11:15,12:45,0.0
52EA,Therapy Room,Monday,13:30,16:15,0.0
52EA,Therapy Room,Monday,16:45,19:30,0.0
52EA,Therapy Room,Tuesday,10:15,11:14,0.0
52EA,Therapy Room,Tuesday,11:15,12:45,0.0
52EA,Therapy Room,Tuesday,13:30,16:15,0.0
52EA,Therapy Room,Tuesday,16:45,19:30,0.0
52EA,Therapy Room,Wednesday,10:15,11:14,0.0
52EA,Therapy Room,Wednesday,11:15,12:45,0.0
52EA,Therapy Room,Wednesday,13:30,16:15,0.0
52EA,Therapy Room,Wednesday,16:45,19:30,0.0
52EA,Therapy Room,Thursday,10:15,11:14,0.0
52EA,Therapy Room,Thursday,11:15,12:45,0.0
52EA,Therapy Room,Thursday,13:30,16:15,0.0
52EA,Therapy Room,Thursday,16:45,19:30,0.0
52EA,Therapy Room,Friday,10:15,11:14,0.0
52EA,Therapy Room,Friday,11:15,12:45,0.0
52EA,Therapy Room,Friday,13:30,16:15,0.0
52EA,Therapy Room,Friday,16:45,19:30,0.0
52EA,Therapy Room,Saturday,10:15,11:14,0.0
52EA,Therapy Room,Saturday,11:15,12:45,0.0
52EA,Therapy Room,Saturday,13:30,16:15,0.0
52EA,Therapy Room,Saturday,16:45,19:30,0.0
52EA,Therapy Room,Sunday,10:15,11:14,1.0
52EA,Therapy Room,Sunday,11:15,12:45,0.0
52EA,Therapy Room,Sunday,13:30,16:15,0.0
52EA,Therapy Room,Sunday,16:45,19:30,0.0
52EA,Gym,Monday,10:15,11:14,0.0
52EA,Gym,Monday,11:15,12:45,0.0
52EA,Gym,Monday,13:30,16:15,0.0
52EA,Gym,Monday,16:45,19:30,0.0
52EA,Gym,Tuesday,10:15,11:14,0.0
52EA,Gym,Tuesday,11:15,12:45,0.0
52EA,Gym,Tuesday,13:30,16:15,0.0
52EA,Gym,Tuesday,16:45,19:30,0.0
52EA,Gym,Wednesday,10:15,11:14,1.0
52EA,Gym,Wednesday,11:15,12:45,0.0
52EA,Gym,Wednesday,13:30,16:15,0.0
52EA,Gym,Wednesday,16:45,19:30,0.0
52EA,Gym,Thursday,10:15,11:14,0.0
52EA,Gym,Thursday,11:15,12:45,0.0
52EA,Gym,Thursday,13:30,16:15,0.0
52EA,Gym,Thursday,16:45,19:30,0.0
52EA,Gym,Friday,10:15,11:14,0.0
52EA,Gym,Friday,11:15,12:45,0.0
52EA,Gym,Friday,13:30,16:15,0.0
52EA,Gym,Friday,16:45,19:30,0.0
52EA,Gym,Saturday,10:15,11:14,0.0
52EA,Gym,Saturday,11:15,12:45,0.0
52EA,Gym,Saturday,13:30,16:15,0.0
52EA,Gym,Saturday,16:45,19:30,0.0
52EA,Gym,Sunday,10:15,11:14,0.0
52EA,Gym,Sunday,11:15,12:45,0.0
52EA,Gym,Sunday,13:30,16:15,0.0
52EA,Gym,Sunday,16:45,19:30,0.0
52EA,Room,Monday,10:15,11:14,1.0
52EA,Room,Monday,11:15,12:45,1.0
52EA,Room,Monday,13:30,16:15,1.0
52EA,Room,Monday,16:45,19:30,0.9576
52EA,Room,Tuesday,10:15,11:14,1.0
52EA,Room,Tuesday,11:15,12:45,1.0
52EA,Room,Tuesday,13:30,16:15,1.0
52EA,Room,Tuesday,16:45,19:30,0.9576
52EA,Room,Wednesday,10:15,11:14,0.0
52EA,Room,Wednesday,11:15,12:45,1.0
52EA,Room,Wednesday,13:30,16:15,1.0
52EA,Room,Wednesday,16:45,19:30,0.9576
52EA,Room,Thursday,10:15,11:14,1.0
52EA,Room,Thursday,11:15,12:45,1.0
52EA,Room,Thursday,13:30,16:15,1.0
52EA,Room,Thursday,16:45,19:30,0.9576
52EA,Room,Friday,10:15,11:14,1.0
52EA,Room,Friday,11:15,12:45,1.0
52EA,Room,Friday,13:30,16:15,1.0
52EA,Room,Friday,16:45,19:30,0.9576
52EA,Room,Saturday,10:15,11:14,1.0
52EA,Room,Saturday,11:15,12:45,1.0
52EA,Room,Saturday,13:30,16:15,1.0
52EA,Room,Saturday,16:45,19:30,0.9576
52EA,Room,Sunday,10:15,11:14,0.0
52EA,Room,Sunday,11:15,12:45,1.0
52EA,Room,Sunday,13:30,16:15,1.0
52EA,Room,Sunday,16:45,19:30,0.9576
682A,Therapy Room,Monday,10:15,10:59,1.0
682A,Therapy Room,Monday,11:00,11:29,0.0
682A,Therapy Room,Monday,11:30,12:14,0.0
682A,Therapy Room,Monday,12:15,12:45,0.0
682A,Therapy Room,Monday,13:30,16:15,0.0
682A,Therapy Room,Monday,17:00,17:29,0.0
682A,Therapy Room,Monday,17:30,18:29,0.0
682A,Therapy Room,Monday,18:30,19:45,0.0
682A,Therapy Room,Tuesday,10:15,10:59,1.0
